IR Value,Red Value,Heart Rate,SpO2
37149,62179,,
37150,62178,,
37157,62181,,
37150,62178,,
37147,62175,,
37147,62176,,
37158,62179,,
37158,62179,,
37149,62169,,
37152,62173,,
37146,62163,,
37150,62160,,
37152,62187,,
37151,62164,,
37155,62173,,
37157,62178,,
37155,62169,,
37150,62161,,
37152,62183,,
37152,62187,,
37165,62185,,
37147,62183,,
37155,62185,,
37156,62179,,
37159,62176,,
37162,62179,,
37154,62173,,
37161,62190,,
37151,62183,,
37165,62191,,
37165,62199,,
37165,62194,,
37173,62197,,
37161,62194,,
37157,62201,,
37171,62190,,
37170,62196,,
37177,62215,,
37169,62217,,
37171,62216,,
37168,62187,,
37174,62199,,
37161,62197,,
37164,62187,,
37171,62182,,
37168,62185,,
37172,62190,,
37164,62171,,
37166,62177,,
37165,62180,,
37167,62180,,
37169,62188,,
37170,62188,,
37171,62183,,
37177,62183,,
37175,62196,,
37181,62189,,
37180,62182,,
37175,62196,,
37177,62190,,
37176,62201,,
37176,62201,,
37181,62205,,
37181,62209,,
37185,62207,,
37178,62213,,
37176,62208,,
37192,62219,,
37187,62214,,
37183,62221,,
37176,62226,,
37190,62227,,
37190,62227,,
37189,62227,,
37193,62237,,
37195,62252,,
37183,62233,,
37186,62235,,
37192,62249,,
37189,62245,,
37198,62245,,
37200,62226,,
37180,62237,,
37188,62233,,
37200,62233,,
37191,62216,,
37194,62225,,
37195,62237,,
37183,62230,,
37188,62225,,
37196,62227,,
37191,62218,,
37196,62233,,
37193,62220,,
37190,62245,,
37192,62237,,
37197,62233,,
37195,62245,,
37190,62235,,
37198,62240,,
37195,62234,,
37203,62232,,
37198,62229,,
37200,62254,,
37193,62232,,
37204,62232,,
37200,62253,,
37199,62231,,
37206,62248,,
37202,62236,,
37209,62257,,
37199,62247,,
37200,62249,,
37202,62257,,
37208,62259,,
37200,62251,,
37209,62267,,
37201,62255,,
37200,62251,,
37202,62251,,
37205,62241,,
37205,62241,,
37208,62248,,
37206,62235,,
37205,62244,,
37198,62226,,
37203,62228,,
37197,62239,,
37205,62238,,
37198,62236,,
37205,62234,,
37212,62244,,
37205,62224,,
37213,62235,,
37206,62224,,
37206,62210,,
37204,62214,,
37196,62185,,
37188,62203,,
37175,62182,,
37182,62199,,
37175,62189,,
37170,62184,,
37171,62172,130,91
37180,62187,,
37176,62190,,
37184,62204,,
37175,62194,,
37183,62206,,
37180,62215,,
37191,62219,,
37193,62234,,
37202,62242,,
37210,62238,,
37212,62237,,
37202,62235,,
37202,62234,,
37202,62224,,
37205,62236,,
37201,62226,,
37202,62221,,
37207,62225,,
37192,62209,,
37201,62220,,
37197,62212,,
37193,62210,,
37197,62211,,
37201,62198,,
37201,62202,,
37194,62207,,
37197,62207,,
37197,62207,,
37198,62215,,
37193,62223,,
37204,62208,,
37200,62218,,
37203,62226,,
37198,62213,,
37199,62219,,
37206,62215,,
37206,62215,,
37203,62206,,
37213,62229,,
37209,62214,,
37213,62220,,
37209,62215,,
37214,62226,,
37211,62225,,
37210,62216,,
37204,62211,,
37213,62218,,
37206,62213,,
37209,62201,,
37215,62217,,
37212,62217,,
37217,62230,,
37233,62251,,
37227,62233,,
37228,62237,,
37216,62239,,
37227,62235,,
37226,62242,,
37220,62225,,
37232,62225,,
37220,62227,,
37229,62226,,
37221,62239,,
37221,62226,,
37214,62230,,
37217,62220,,
37226,62224,,
37229,62225,,
37229,62236,,
37224,62225,,
37228,62227,,
37229,62237,,
37227,62243,,
37231,62252,,
37230,62237,,
37230,62253,,
37234,62241,,
37225,62238,,
37234,62247,,
37237,62243,,
37237,62258,,
37232,62254,,
37233,62237,,
37232,62253,,
37237,62252,,
37237,62252,,
37243,62250,,
37236,62250,,
37236,62263,,
37227,62261,,
37235,62252,,
37234,62268,,
37229,62259,,
37241,62266,,
37242,62276,,
37232,62254,,
37235,62251,,
37233,62258,,
37228,62245,,
37230,62233,,
37218,62230,,
37234,62227,,
37228,62228,,
37226,62243,,
37219,62218,,
37227,62235,,
37223,62232,,
37222,62228,,
37228,62241,,
37224,62228,,
37219,62231,,
37225,62241,,
37225,62244,,
